prefix,size,acc,fscore,AUC,w_fscore,recall,precision
0,17,0.7647058823529411,0.8666666666666667,0.5,0.6627450980392157,0.7647058823529411,0.5847750865051903
1,34,0.8529411764705882,0.9206349206349206,0.2827586206896551,0.7852474323062557,0.8529411764705882,0.7275086505190311
2,82,0.6585365853658537,0.7941176470588235,0.5251322751322751,0.5229555236728838,0.6585365853658537,0.43367043426531826
3,115,0.6173913043478261,0.7634408602150538,0.5646606914212547,0.4713417484805984,0.6173913043478261,0.38117202268431005
4,150,0.5866666666666667,0.7394957983193278,0.5747800586510263,0.43383753501400557,0.5866666666666667,0.34417777777777775
5,182,0.554945054945055,0.7137809187279152,0.5682679379049015,0.3961091911621947,0.554945054945055,0.3079640140079701
6,206,0.5436893203883495,0.7044025157232704,0.604768237082067,0.3829761250534286,0.5436893203883495,0.2955980771043454
7,235,0.5191489361702127,0.6834733893557423,0.6377121717684607,0.35482448298468316,0.5191489361702127,0.2695156179266636
8,259,0.5173745173745173,0.6819338422391857,0.6350746268656716,0.35281519250984894,0.5173745173745173,0.2676763912285148
9,279,0.5232974910394266,0.6870588235294117,0.6135286847255124,0.3595361585494413,0.5232974910394266,0.2738402641281587
10,303,0.5313531353135313,0.6939655172413793,0.6109045577814716,0.3687407533856834,0.5313531353135313,0.28233615440751997
11,322,0.5341614906832298,0.6963562753036437,0.6173837209302325,0.3719667060628159,0.5341614906832298,0.2853284981289302
12,339,0.5368731563421829,0.6986564299424184,0.6068278854903059,0.3750898827419473,0.5368731563421829,0.288232786000818
13,353,0.5354107648725213,0.6974169741697417,0.6137727448703059,0.37340455557530083,0.5354107648725213,0.2866646871413782
14,372,0.5349462365591398,0.6970227670753065,0.6240015104423854,0.37286970604297304,0.5349462365591398,0.2861674760087871
15,382,0.5340314136125655,0.6962457337883959,0.6291997135933025,0.371817093436735,0.5340314136125655,0.285189550725035
16,389,0.5398457583547558,0.7011686143572621,0.626802341048151,0.3785229023522495,0.5398457583547558,0.2914334428136214
17,396,0.5404040404040404,0.7016393442622951,0.6242554174797166,0.37916873654578576,0.5404040404040404,0.29203652688501175
18,403,0.543424317617866,0.7041800643086816,0.6223570577724835,0.3826685709270503,0.543424317617866,0.29530998897844335
19,409,0.5427872860635696,0.7027027027027027,0.6297896408972754,0.3845640960555387,0.5427872860635696,0.7523431132844335
20,410,0.5414634146341464,0.7015873015873015,0.631748425866073,0.383025042280498,0.5414634146341464,0.7522332876140497
21,413,0.5399515738498789,0.7003154574132492,0.628897221829159,0.3812581474069604,0.5399515738498789,0.7521098286278474
22,417,0.5419664268585132,0.7020280811232449,0.6295717592592592,0.38356344258616204,0.5419664268585132,0.7522654952960709
23,419,0.5441527446300716,0.702954898911353,0.6298661103214269,0.3886080704366113,0.5441527446300716,0.7529460918138997
24,421,0.5439429928741093,0.7027863777089783,0.6299673009673463,0.388341309770564,0.5439429928741093,0.7529237694091236
26,423,0.5437352245862884,0.7017001545595054,0.6337431448350266,0.39053305632080665,0.5437352245862884,0.7533997523359225
27,425,0.5458823529411765,0.7035330261136713,0.6335553872203904,0.39298496639699804,0.5458823529411765,0.753571229439643
28,426,0.5446009389671361,0.7024539877300614,0.6354155121583579,0.39148348166709873,0.5446009389671361,0.7534600827978112
29,427,0.5456674473067916,0.7033639143730887,0.6330059589494593,0.39270187425248343,0.5456674473067916,0.7535460209447218
31,428,0.5467289719626168,0.7042682926829268,0.6311666337047048,0.3939158308639162,0.5467289719626168,0.7536338647608576
33,430,0.5465116279069767,0.7040971168437026,0.6305620863810519,0.3936301834161233,0.5465116279069767,0.7536081912749851
34,431,0.5475638051044084,0.7049924357034796,0.6281592751549834,0.3948345366127721,0.5475638051044084,0.7536971181993625
