prefix,n_cases,accuracy,fscore,precision,recall,cohen_kappa,AUC
2,44,0.5454545454545454,0.5256486432957022,0.5436498984886081,0.5454545454545454,0.0736842105263158,0.65527950310559
3,86,0.5581395348837209,0.5446437966957802,0.5534998281590102,0.5581395348837209,0.09423503325942362,0.6217391304347825
4,128,0.5546875,0.5440908766419189,0.5489803165584415,0.5546875,0.08708708708708712,0.6093097519037092
5,167,0.5449101796407185,0.532962877126036,0.5368182553811296,0.5449101796407185,0.06207508128879702,0.6046124927703875
6,206,0.5485436893203883,0.5359756175202706,0.539749542704376,0.5485436893203883,0.06628326347597224,0.596964506613379
7,242,0.5454545454545454,0.5322220189241466,0.535923810599589,0.5454545454545454,0.05849897432269924,0.581913499344692
8,278,0.5431654676258992,0.5294258489409795,0.5330607854142219,0.5431654676258992,0.052696538771129564,0.5717385620915032
9,310,0.5419354838709678,0.5278720996038483,0.5320430107526882,0.5419354838709678,0.05129310344827587,0.5731512605042016
10,342,0.5467836257309941,0.5336559453403175,0.5380371217899822,0.5467836257309941,0.06332826801427716,0.5758323270657236
11,373,0.5495978552278821,0.537281006497358,0.5419250295309058,0.5495978552278821,0.07167195046072705,0.5756012749927557
12,404,0.5495049504950495,0.5373886645836715,0.5423685491225703,0.5495049504950495,0.07313752678683971,0.5750092558311737
13,433,0.5519630484988453,0.5402640845251212,0.5460521928269227,0.5519630484988453,0.0811218797173422,0.5794957081545064
14,462,0.5562770562770563,0.5446650770953886,0.5516060736648971,0.5562770562770563,0.09213780410651629,0.5847754448733641
15,490,0.5612244897959183,0.549859905013612,0.5575191924159222,0.5612244897959183,0.10357209713925908,0.5893105121383995
16,518,0.5675675675675675,0.5567567567567568,0.5648781641127184,0.5675675675675675,0.11788228496708175,0.5939319117096895
17,543,0.574585635359116,0.564579364517042,0.5725556583890318,0.574585635359116,0.1329655973290752,0.5992851307189542
18,568,0.579225352112676,0.5696410519266748,0.5776368077424415,0.579225352112676,0.1429148672879258,0.604794256348999
19,590,0.5830508474576271,0.5738668363675006,0.5815573398118984,0.5830508474576271,0.15064196346016556,0.60537364044244
20,612,0.5849673202614379,0.5763208061002179,0.5833847081775408,0.5849673202614379,0.1546685518516504,0.6054194585901902
21,633,0.5860979462875198,0.5778170916410351,0.5842272595197983,0.5860979462875198,0.1565751599418208,0.6036921565482396
22,654,0.5871559633027523,0.5792120603975535,0.585036270047989,0.5871559633027523,0.15838139268862295,0.6022781718258257
23,675,0.5866666666666667,0.579184640563525,0.5842214839424142,0.5866666666666667,0.15725057615286508,0.6016858690474091
24,696,0.5862068965517241,0.5791498671823215,0.5834962337425391,0.5862068965517241,0.15621448235799262,0.6016442699557599
25,715,0.586013986013986,0.5791545686282529,0.5830842598634247,0.586013986013986,0.15548035945156502,0.6019755475830816
26,734,0.5844686648501363,0.57792890709706,0.5812827329346403,0.5844686648501363,0.15219383620265237,0.6029386505358276
27,751,0.5845539280958721,0.5783037820405944,0.5812133412653314,0.5845539280958721,0.15216777751242916,0.6039713123528152
28,768,0.5846354166666666,0.5786586613604209,0.5811677155671297,0.5846354166666666,0.15215946843853823,0.6049865183112052
29,784,0.5841836734693877,0.5783960413306309,0.5804861395530448,0.5841836734693877,0.15067491675694356,0.6052072751106014
30,800,0.58375,0.5781454730833941,0.579857426394319,0.58375,0.14926231078750718,0.6057282317745236
31,813,0.5842558425584256,0.5787570402019809,0.5801183542599805,0.5842558425584256,0.14930252428627144,0.6077510437266536
32,826,0.5847457627118644,0.5793538112404384,0.580394013261025,0.5847457627118644,0.14934335761338868,0.6098426338559143
33,837,0.5842293906810035,0.5788283408780791,0.5794739598966517,0.5842293906810035,0.14651898734177216,0.6092611832611833
34,848,0.5837264150943396,0.5783250514925552,0.5786067105731577,0.5837264150943396,0.14372346876895092,0.6083703616099838
35,857,0.5822637106184364,0.5769045860043077,0.5769015857039083,0.5822637106184364,0.13959201530082843,0.6057810136783652
36,866,0.5808314087759815,0.5755185300316352,0.5752519678776464,0.5808314087759815,0.1355288993020608,0.6032226641772871
