prefix,n_cases,accuracy,fscore,precision,recall,cohen_kappa,AUC
2,44,0.5227272727272727,0.35888738127544095,0.2732438016528925,0.5227272727272727,0.0,0.510351966873706
3,86,0.5348837209302325,0.37279774489076806,0.28610059491617085,0.5348837209302325,0.0,0.5092391304347826
4,128,0.5390625,0.37761738578680204,0.29058837890625,0.5390625,0.0,0.5078604765413903
5,167,0.5508982035928144,0.397710214015347,0.753805641728591,0.5508982035928144,0.014322814196899514,0.5084586466165414
6,206,0.558252427184466,0.42554425423000747,0.6054126213592234,0.558252427184466,0.027596223674654863,0.5115139404320106
7,242,0.5578512396694215,0.4397012954488537,0.5685980356928974,0.5578512396694215,0.028950723768094155,0.5101055390770506
8,278,0.5539568345323741,0.4516634737649239,0.5417571445900534,0.5539568345323741,0.024506197294697052,0.5095686274509804
9,310,0.5516129032258065,0.4595399758505732,0.5380355396862468,0.5516129032258065,0.02665461938107072,0.5121008403361345
10,342,0.5497076023391813,0.46533497955593595,0.535704643383677,0.5497076023391813,0.028158098682510846,0.5144212523719165
11,373,0.5495978552278821,0.47300431090202955,0.5390336904745355,0.5495978552278821,0.03486939379004428,0.5148652564474065
12,404,0.5495049504950495,0.47904900525263794,0.5412236066013477,0.5495049504950495,0.040229735021537594,0.5165370850302358
13,433,0.5496535796766744,0.48552237185993485,0.5455478036874261,0.5496535796766744,0.04856611640092401,0.5208476394849785
14,462,0.5497835497835498,0.49081905440004,0.5486559951676231,0.5497835497835498,0.05538189324682996,0.5256096412767159
15,490,0.5510204081632653,0.49503583100674625,0.5521670495852941,0.5510204081632653,0.061515156791391634,0.5290618882698388
16,518,0.5521235521235521,0.49869959450797774,0.5550838173788993,0.5521235521235521,0.06685509294488523,0.5331911709689487
17,543,0.5543278084714549,0.5036185107690544,0.558308182617575,0.5543278084714549,0.07285581237829131,0.5393450435729847
18,568,0.5563380281690141,0.508015756334292,0.5611121469629096,0.5563380281690141,0.07829021082591725,0.5456530665571689
19,590,0.5576271186440678,0.5111140046549061,0.5619241273672717,0.5576271186440678,0.0808432915109768,0.5484538817314679
20,612,0.5588235294117647,0.5139489619377162,0.5626859553637819,0.5588235294117647,0.08323254291452609,0.5513320825515947
21,633,0.5592417061611374,0.5153746439456982,0.5618092462417994,0.5592417061611374,0.08291834350253147,0.5533272515839281
22,654,0.5626911314984709,0.5210350343155907,0.5652064891251047,0.5626911314984709,0.08941142106031841,0.5555028418432054
23,675,0.5659259259259259,0.5262754145737525,0.5683368483368484,0.5659259259259259,0.09555908190843776,0.5577527039186971
24,696,0.5689655172413793,0.5311410853686254,0.5712357351915208,0.5689655172413793,0.10138665335387631,0.5601266610778642
25,715,0.5720279720279721,0.5352557591724345,0.5743947033036821,0.5720279720279721,0.10692855918297361,0.562857974572004
26,734,0.5749318801089919,0.5391405083880296,0.5773638874949495,0.5749318801089919,0.11221380556223215,0.5654195138344349
27,751,0.5778961384820239,0.5432080624187767,0.5802995302710723,0.5778961384820239,0.11767234829532602,0.568661243131378
28,768,0.5807291666666666,0.5470755734427609,0.5830831677105918,0.5807291666666666,0.12292076012399178,0.5723983753711731
29,784,0.5816326530612245,0.5482019205343378,0.5831082144294072,0.5816326530612245,0.12315613598390551,0.5753399967229231
30,800,0.58375,0.5509758465785901,0.5846921760304913,0.58375,0.12621359223300976,0.577984569359156
31,813,0.5842558425584256,0.5515690658150446,0.5838580760275833,0.5842558425584256,0.12492118386609863,0.5802906565101686
32,826,0.5847457627118644,0.5521482370166094,0.5830773568074328,0.5847457627118644,0.12366299822454818,0.5825713592434115
33,837,0.5854241338112306,0.5527887901055719,0.5818755035981218,0.5854241338112306,0.1214233209006017,0.5833621933621933
34,848,0.5849056603773585,0.5524743167931243,0.5791075539117956,0.5849056603773585,0.1169436670551971,0.5840302533691508
35,857,0.5845974329054843,0.5521872010074972,0.5773665733500832,0.5845974329054843,0.11389287436175954,0.5846673143374438
36,866,0.5842956120092379,0.5519107868121367,0.5756917344825445,0.5842956120092379,0.11088802824533284,0.5853045431176773
