Qty_Completed;open_cases;Part_Desc_;Resource;activity_duration;weekday;label;Report_Type;Resource.1;timesincecasestart;Rework;timesincemidnight;concept:name;month;hour;Work_Order_Qty;Qty_for_MRB;event_nr;Complete Timestamp;lifecycle:transition;timesincelastevent;case:concept:name;Case_duplicate;case_length;base_case_id;LPMs_list;LPMs_binary;LPMs_frequency
1;30;Cable Head;ID4932;379.0;0;deviant;S;Machine 4 - Turning & Milling;0.0;missing;343;Turning & Milling - Machine 4;1;5;10;0;1;2012-01-30 04:43:00+00:00;complete;0.0;Case1;Case1;2;Case1;+;0.0;0.0
1;30;Cable Head;ID4932;58.0;0;deviant;D;Machine 4 - Turning & Milling;59.0;missing;402;Turning & Milling - Machine 4;1;6;10;0;2;2012-01-30 05:42:00+00:00;complete;59.0;Case1;Case1;2;Case1;+;0.0;0.0
1;32;Spur Gear;ID3846;244.0;1;deviant;S;Machine 9 - Turning & Milling;0.0;missing;665;Turning & Milling - Machine 9;1;11;251;0;1;2012-01-17 10:05:00+00:00;complete;0.0;Case10;Case10;2;Case10;+;0.0;0.0
0;32;Spur Gear;ID4618;15.0;1;deviant;D;Quality Check 1;10.0;missing;675;Turning Q.C.;1;11;251;0;2;2012-01-17 10:15:00+00:00;complete;10.0;Case10;Case10;2;Case10;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100;Case100;2;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100;Case100;2;Case100;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100_10;Case100;10;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100_10;Case100;10;Case100;+;0.0;0.0
1;25;Ballnut;ID4219;258.0;1;regular;S;Machine 8 - Turning & Milling;1026.0;missing;663;Turning & Milling - Machine 8;2;11;18;0;3;2012-02-21 10:03:00+00:00;complete;486.0;Case100_10;Case100;10;Case100;+;0.0;0.0
17;25;Ballnut;ID4219;64.0;1;regular;D;Machine 8 - Turning & Milling;1091.0;missing;728;Turning & Milling - Machine 8;2;12;18;0;4;2012-02-21 11:08:00+00:00;complete;65.0;Case100_10;Case100;10;Case100;+;0.0;0.0
18;28;Ballnut;ID4618;22.0;2;regular;D;Quality Check 1;2713.0;missing;910;Turning & Milling Q.C.;2;15;18;0;5;2012-02-22 14:10:00+00:00;complete;1622.0;Case100_10;Case100;10;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;1.0;6;regular;D;Machine 7- Laser Marking;28389.0;missing;666;Laser Marking - Machine 7;3;11;18;0;6;2012-03-11 10:06:00+00:00;complete;25676.0;Case100_10;Case100;10;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;22.0;6;regular;D;Machine 11 - Grinding;28488.0;missing;765;Flat Grinding - Machine 11;3;12;18;0;7;2012-03-11 11:45:00+00:00;complete;99.0;Case100_10;Case100;10;Case100;+;0.0;0.0
18;16;Ballnut;ID4882;32.0;6;regular;D;Machine 1 - Lapping;28521.0;missing;798;Lapping - Machine 1;3;13;18;0;8;2012-03-11 12:18:00+00:00;complete;33.0;Case100_10;Case100;10;Case100;+;0.0;0.0
0;19;Ballnut;ID4445;7.0;1;regular;S;Machine 3 - Round Grinding;31244.0;missing;641;Round Grinding - Machine 3;3;10;18;0;9;2012-03-13 09:41:00+00:00;complete;2723.0;Case100_10;Case100;10;Case100;+;0.0;0.0
18;18;Ballnut;ID4445;271.0;1;regular;D;Machine 3 - Round Grinding;31515.0;missing;912;Round Grinding - Machine 3;3;15;18;0;10;2012-03-13 14:12:00+00:00;complete;271.0;Case100_10;Case100;10;Case100;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100_11;Case100;11;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100_11;Case100;11;Case100;+;0.0;0.0
1;25;Ballnut;ID4219;258.0;1;regular;S;Machine 8 - Turning & Milling;1026.0;missing;663;Turning & Milling - Machine 8;2;11;18;0;3;2012-02-21 10:03:00+00:00;complete;486.0;Case100_11;Case100;11;Case100;+;0.0;0.0
17;25;Ballnut;ID4219;64.0;1;regular;D;Machine 8 - Turning & Milling;1091.0;missing;728;Turning & Milling - Machine 8;2;12;18;0;4;2012-02-21 11:08:00+00:00;complete;65.0;Case100_11;Case100;11;Case100;+;0.0;0.0
18;28;Ballnut;ID4618;22.0;2;regular;D;Quality Check 1;2713.0;missing;910;Turning & Milling Q.C.;2;15;18;0;5;2012-02-22 14:10:00+00:00;complete;1622.0;Case100_11;Case100;11;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;1.0;6;regular;D;Machine 7- Laser Marking;28389.0;missing;666;Laser Marking - Machine 7;3;11;18;0;6;2012-03-11 10:06:00+00:00;complete;25676.0;Case100_11;Case100;11;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;22.0;6;regular;D;Machine 11 - Grinding;28488.0;missing;765;Flat Grinding - Machine 11;3;12;18;0;7;2012-03-11 11:45:00+00:00;complete;99.0;Case100_11;Case100;11;Case100;+;0.0;0.0
18;16;Ballnut;ID4882;32.0;6;regular;D;Machine 1 - Lapping;28521.0;missing;798;Lapping - Machine 1;3;13;18;0;8;2012-03-11 12:18:00+00:00;complete;33.0;Case100_11;Case100;11;Case100;+;0.0;0.0
0;19;Ballnut;ID4445;7.0;1;regular;S;Machine 3 - Round Grinding;31244.0;missing;641;Round Grinding - Machine 3;3;10;18;0;9;2012-03-13 09:41:00+00:00;complete;2723.0;Case100_11;Case100;11;Case100;+;0.0;0.0
18;18;Ballnut;ID4445;271.0;1;regular;D;Machine 3 - Round Grinding;31515.0;missing;912;Round Grinding - Machine 3;3;15;18;0;10;2012-03-13 14:12:00+00:00;complete;271.0;Case100_11;Case100;11;Case100;+;0.0;0.0
0;21;Ballnut;ID4872;70.0;4;regular;D;Machine 12 - Grinding;35683.0;missing;760;other;3;12;18;0;11;2012-03-16 11:40:00+00:00;complete;4168.0;Case100_11;Case100;11;Case100;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100_12;Case100;12;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100_12;Case100;12;Case100;+;0.0;0.0
1;25;Ballnut;ID4219;258.0;1;regular;S;Machine 8 - Turning & Milling;1026.0;missing;663;Turning & Milling - Machine 8;2;11;18;0;3;2012-02-21 10:03:00+00:00;complete;486.0;Case100_12;Case100;12;Case100;+;0.0;0.0
17;25;Ballnut;ID4219;64.0;1;regular;D;Machine 8 - Turning & Milling;1091.0;missing;728;Turning & Milling - Machine 8;2;12;18;0;4;2012-02-21 11:08:00+00:00;complete;65.0;Case100_12;Case100;12;Case100;+;0.0;0.0
18;28;Ballnut;ID4618;22.0;2;regular;D;Quality Check 1;2713.0;missing;910;Turning & Milling Q.C.;2;15;18;0;5;2012-02-22 14:10:00+00:00;complete;1622.0;Case100_12;Case100;12;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;1.0;6;regular;D;Machine 7- Laser Marking;28389.0;missing;666;Laser Marking - Machine 7;3;11;18;0;6;2012-03-11 10:06:00+00:00;complete;25676.0;Case100_12;Case100;12;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;22.0;6;regular;D;Machine 11 - Grinding;28488.0;missing;765;Flat Grinding - Machine 11;3;12;18;0;7;2012-03-11 11:45:00+00:00;complete;99.0;Case100_12;Case100;12;Case100;+;0.0;0.0
18;16;Ballnut;ID4882;32.0;6;regular;D;Machine 1 - Lapping;28521.0;missing;798;Lapping - Machine 1;3;13;18;0;8;2012-03-11 12:18:00+00:00;complete;33.0;Case100_12;Case100;12;Case100;+;0.0;0.0
0;19;Ballnut;ID4445;7.0;1;regular;S;Machine 3 - Round Grinding;31244.0;missing;641;Round Grinding - Machine 3;3;10;18;0;9;2012-03-13 09:41:00+00:00;complete;2723.0;Case100_12;Case100;12;Case100;+;0.0;0.0
18;18;Ballnut;ID4445;271.0;1;regular;D;Machine 3 - Round Grinding;31515.0;missing;912;Round Grinding - Machine 3;3;15;18;0;10;2012-03-13 14:12:00+00:00;complete;271.0;Case100_12;Case100;12;Case100;+;0.0;0.0
0;21;Ballnut;ID4872;70.0;4;regular;D;Machine 12 - Grinding;35683.0;missing;760;other;3;12;18;0;11;2012-03-16 11:40:00+00:00;complete;4168.0;Case100_12;Case100;12;Case100;+;0.0;0.0
0;20;Ballnut;ID4618;165.0;0;regular;D;Quality Check 1;40089.0;missing;846;Final Inspection Q.C.;3;14;18;0;12;2012-03-19 13:06:00+00:00;complete;4406.0;Case100_12;Case100;12;Case100;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100_13;Case100;13;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100_13;Case100;13;Case100;+;0.0;0.0
1;25;Ballnut;ID4219;258.0;1;regular;S;Machine 8 - Turning & Milling;1026.0;missing;663;Turning & Milling - Machine 8;2;11;18;0;3;2012-02-21 10:03:00+00:00;complete;486.0;Case100_13;Case100;13;Case100;+;0.0;0.0
17;25;Ballnut;ID4219;64.0;1;regular;D;Machine 8 - Turning & Milling;1091.0;missing;728;Turning & Milling - Machine 8;2;12;18;0;4;2012-02-21 11:08:00+00:00;complete;65.0;Case100_13;Case100;13;Case100;+;0.0;0.0
18;28;Ballnut;ID4618;22.0;2;regular;D;Quality Check 1;2713.0;missing;910;Turning & Milling Q.C.;2;15;18;0;5;2012-02-22 14:10:00+00:00;complete;1622.0;Case100_13;Case100;13;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;1.0;6;regular;D;Machine 7- Laser Marking;28389.0;missing;666;Laser Marking - Machine 7;3;11;18;0;6;2012-03-11 10:06:00+00:00;complete;25676.0;Case100_13;Case100;13;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;22.0;6;regular;D;Machine 11 - Grinding;28488.0;missing;765;Flat Grinding - Machine 11;3;12;18;0;7;2012-03-11 11:45:00+00:00;complete;99.0;Case100_13;Case100;13;Case100;+;0.0;0.0
18;16;Ballnut;ID4882;32.0;6;regular;D;Machine 1 - Lapping;28521.0;missing;798;Lapping - Machine 1;3;13;18;0;8;2012-03-11 12:18:00+00:00;complete;33.0;Case100_13;Case100;13;Case100;+;0.0;0.0
0;19;Ballnut;ID4445;7.0;1;regular;S;Machine 3 - Round Grinding;31244.0;missing;641;Round Grinding - Machine 3;3;10;18;0;9;2012-03-13 09:41:00+00:00;complete;2723.0;Case100_13;Case100;13;Case100;+;0.0;0.0
18;18;Ballnut;ID4445;271.0;1;regular;D;Machine 3 - Round Grinding;31515.0;missing;912;Round Grinding - Machine 3;3;15;18;0;10;2012-03-13 14:12:00+00:00;complete;271.0;Case100_13;Case100;13;Case100;+;0.0;0.0
0;21;Ballnut;ID4872;70.0;4;regular;D;Machine 12 - Grinding;35683.0;missing;760;other;3;12;18;0;11;2012-03-16 11:40:00+00:00;complete;4168.0;Case100_13;Case100;13;Case100;+;0.0;0.0
0;20;Ballnut;ID4618;165.0;0;regular;D;Quality Check 1;40089.0;missing;846;Final Inspection Q.C.;3;14;18;0;12;2012-03-19 13:06:00+00:00;complete;4406.0;Case100_13;Case100;13;Case100;+;0.0;0.0
18;19;Ballnut;ID4820;60.0;2;regular;D;Packing;42183.0;missing;60;Packing;3;1;18;0;13;2012-03-21 00:00:00+00:00;complete;2094.0;Case100_13;Case100;13;Case100;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100_14;Case100;14;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100_14;Case100;14;Case100;+;0.0;0.0
1;25;Ballnut;ID4219;258.0;1;regular;S;Machine 8 - Turning & Milling;1026.0;missing;663;Turning & Milling - Machine 8;2;11;18;0;3;2012-02-21 10:03:00+00:00;complete;486.0;Case100_14;Case100;14;Case100;+;0.0;0.0
17;25;Ballnut;ID4219;64.0;1;regular;D;Machine 8 - Turning & Milling;1091.0;missing;728;Turning & Milling - Machine 8;2;12;18;0;4;2012-02-21 11:08:00+00:00;complete;65.0;Case100_14;Case100;14;Case100;+;0.0;0.0
18;28;Ballnut;ID4618;22.0;2;regular;D;Quality Check 1;2713.0;missing;910;Turning & Milling Q.C.;2;15;18;0;5;2012-02-22 14:10:00+00:00;complete;1622.0;Case100_14;Case100;14;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;1.0;6;regular;D;Machine 7- Laser Marking;28389.0;missing;666;Laser Marking - Machine 7;3;11;18;0;6;2012-03-11 10:06:00+00:00;complete;25676.0;Case100_14;Case100;14;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;22.0;6;regular;D;Machine 11 - Grinding;28488.0;missing;765;Flat Grinding - Machine 11;3;12;18;0;7;2012-03-11 11:45:00+00:00;complete;99.0;Case100_14;Case100;14;Case100;+;0.0;0.0
18;16;Ballnut;ID4882;32.0;6;regular;D;Machine 1 - Lapping;28521.0;missing;798;Lapping - Machine 1;3;13;18;0;8;2012-03-11 12:18:00+00:00;complete;33.0;Case100_14;Case100;14;Case100;+;0.0;0.0
0;19;Ballnut;ID4445;7.0;1;regular;S;Machine 3 - Round Grinding;31244.0;missing;641;Round Grinding - Machine 3;3;10;18;0;9;2012-03-13 09:41:00+00:00;complete;2723.0;Case100_14;Case100;14;Case100;+;0.0;0.0
18;18;Ballnut;ID4445;271.0;1;regular;D;Machine 3 - Round Grinding;31515.0;missing;912;Round Grinding - Machine 3;3;15;18;0;10;2012-03-13 14:12:00+00:00;complete;271.0;Case100_14;Case100;14;Case100;+;0.0;0.0
0;21;Ballnut;ID4872;70.0;4;regular;D;Machine 12 - Grinding;35683.0;missing;760;other;3;12;18;0;11;2012-03-16 11:40:00+00:00;complete;4168.0;Case100_14;Case100;14;Case100;+;0.0;0.0
0;20;Ballnut;ID4618;165.0;0;regular;D;Quality Check 1;40089.0;missing;846;Final Inspection Q.C.;3;14;18;0;12;2012-03-19 13:06:00+00:00;complete;4406.0;Case100_14;Case100;14;Case100;+;0.0;0.0
18;19;Ballnut;ID4820;60.0;2;regular;D;Packing;42183.0;missing;60;Packing;3;1;18;0;13;2012-03-21 00:00:00+00:00;complete;2094.0;Case100_14;Case100;14;Case100;+;0.0;0.0
18;20;Ballnut;ID4618;1.0;2;regular;D;Quality Check 1;42546.0;missing;423;Final Inspection Q.C.;3;7;18;0;14;2012-03-21 06:03:00+00:00;complete;363.0;Case100_14;Case100;14;Case100;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100_3;Case100;3;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100_3;Case100;3;Case100;+;0.0;0.0
1;25;Ballnut;ID4219;258.0;1;regular;S;Machine 8 - Turning & Milling;1026.0;missing;663;Turning & Milling - Machine 8;2;11;18;0;3;2012-02-21 10:03:00+00:00;complete;486.0;Case100_3;Case100;3;Case100;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100_4;Case100;4;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100_4;Case100;4;Case100;+;0.0;0.0
1;25;Ballnut;ID4219;258.0;1;regular;S;Machine 8 - Turning & Milling;1026.0;missing;663;Turning & Milling - Machine 8;2;11;18;0;3;2012-02-21 10:03:00+00:00;complete;486.0;Case100_4;Case100;4;Case100;+;0.0;0.0
17;25;Ballnut;ID4219;64.0;1;regular;D;Machine 8 - Turning & Milling;1091.0;missing;728;Turning & Milling - Machine 8;2;12;18;0;4;2012-02-21 11:08:00+00:00;complete;65.0;Case100_4;Case100;4;Case100;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100_5;Case100;5;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100_5;Case100;5;Case100;+;0.0;0.0
1;25;Ballnut;ID4219;258.0;1;regular;S;Machine 8 - Turning & Milling;1026.0;missing;663;Turning & Milling - Machine 8;2;11;18;0;3;2012-02-21 10:03:00+00:00;complete;486.0;Case100_5;Case100;5;Case100;+;0.0;0.0
17;25;Ballnut;ID4219;64.0;1;regular;D;Machine 8 - Turning & Milling;1091.0;missing;728;Turning & Milling - Machine 8;2;12;18;0;4;2012-02-21 11:08:00+00:00;complete;65.0;Case100_5;Case100;5;Case100;+;0.0;0.0
18;28;Ballnut;ID4618;22.0;2;regular;D;Quality Check 1;2713.0;missing;910;Turning & Milling Q.C.;2;15;18;0;5;2012-02-22 14:10:00+00:00;complete;1622.0;Case100_5;Case100;5;Case100;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100_6;Case100;6;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100_6;Case100;6;Case100;+;0.0;0.0
1;25;Ballnut;ID4219;258.0;1;regular;S;Machine 8 - Turning & Milling;1026.0;missing;663;Turning & Milling - Machine 8;2;11;18;0;3;2012-02-21 10:03:00+00:00;complete;486.0;Case100_6;Case100;6;Case100;+;0.0;0.0
17;25;Ballnut;ID4219;64.0;1;regular;D;Machine 8 - Turning & Milling;1091.0;missing;728;Turning & Milling - Machine 8;2;12;18;0;4;2012-02-21 11:08:00+00:00;complete;65.0;Case100_6;Case100;6;Case100;+;0.0;0.0
18;28;Ballnut;ID4618;22.0;2;regular;D;Quality Check 1;2713.0;missing;910;Turning & Milling Q.C.;2;15;18;0;5;2012-02-22 14:10:00+00:00;complete;1622.0;Case100_6;Case100;6;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;1.0;6;regular;D;Machine 7- Laser Marking;28389.0;missing;666;Laser Marking - Machine 7;3;11;18;0;6;2012-03-11 10:06:00+00:00;complete;25676.0;Case100_6;Case100;6;Case100;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100_7;Case100;7;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100_7;Case100;7;Case100;+;0.0;0.0
1;25;Ballnut;ID4219;258.0;1;regular;S;Machine 8 - Turning & Milling;1026.0;missing;663;Turning & Milling - Machine 8;2;11;18;0;3;2012-02-21 10:03:00+00:00;complete;486.0;Case100_7;Case100;7;Case100;+;0.0;0.0
17;25;Ballnut;ID4219;64.0;1;regular;D;Machine 8 - Turning & Milling;1091.0;missing;728;Turning & Milling - Machine 8;2;12;18;0;4;2012-02-21 11:08:00+00:00;complete;65.0;Case100_7;Case100;7;Case100;+;0.0;0.0
18;28;Ballnut;ID4618;22.0;2;regular;D;Quality Check 1;2713.0;missing;910;Turning & Milling Q.C.;2;15;18;0;5;2012-02-22 14:10:00+00:00;complete;1622.0;Case100_7;Case100;7;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;1.0;6;regular;D;Machine 7- Laser Marking;28389.0;missing;666;Laser Marking - Machine 7;3;11;18;0;6;2012-03-11 10:06:00+00:00;complete;25676.0;Case100_7;Case100;7;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;22.0;6;regular;D;Machine 11 - Grinding;28488.0;missing;765;Flat Grinding - Machine 11;3;12;18;0;7;2012-03-11 11:45:00+00:00;complete;99.0;Case100_7;Case100;7;Case100;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100_8;Case100;8;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100_8;Case100;8;Case100;+;0.0;0.0
1;25;Ballnut;ID4219;258.0;1;regular;S;Machine 8 - Turning & Milling;1026.0;missing;663;Turning & Milling - Machine 8;2;11;18;0;3;2012-02-21 10:03:00+00:00;complete;486.0;Case100_8;Case100;8;Case100;+;0.0;0.0
17;25;Ballnut;ID4219;64.0;1;regular;D;Machine 8 - Turning & Milling;1091.0;missing;728;Turning & Milling - Machine 8;2;12;18;0;4;2012-02-21 11:08:00+00:00;complete;65.0;Case100_8;Case100;8;Case100;+;0.0;0.0
18;28;Ballnut;ID4618;22.0;2;regular;D;Quality Check 1;2713.0;missing;910;Turning & Milling Q.C.;2;15;18;0;5;2012-02-22 14:10:00+00:00;complete;1622.0;Case100_8;Case100;8;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;1.0;6;regular;D;Machine 7- Laser Marking;28389.0;missing;666;Laser Marking - Machine 7;3;11;18;0;6;2012-03-11 10:06:00+00:00;complete;25676.0;Case100_8;Case100;8;Case100;+;0.0;0.0
